Name:		lavras11
Optimal value:	10182
#Vehicles:	3
Capacity:	5400
Depot Node:	1280
#Nodes:		1314
#Edges:		1454
#Arcs:		477
#Required N:	40
#Required E:	101
#Required A:	16

ReN.	DEMAND	S. COST
N57	1	20
N750	1	20
N756	1	20
N931	1	20
N967	1	20
N1164	1	20
N1281	1	20
N1282	1	20
N1283	1	20
N1284	1	20
N1285	1	20
N1286	1	20
N1287	1	20
N1288	1	20
N1289	1	20
N1290	1	20
N1291	1	20
N1292	1	20
N1293	1	20
N1294	1	20
N1295	1	20
N1296	1	20
N1297	1	20
N1298	1	20
N1299	1	20
N1300	1	20
N1301	1	20
N1302	1	20
N1303	1	20
N1304	1	20
N1305	1	20
N1306	1	20
N1307	1	20
N1308	1	20
N1309	1	20
N1310	1	20
N1311	1	20
N1312	1	20
N1313	1	20
N1314	1	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E786	302	303	52	1	78
E787	303	301	16	1	24
E806	973	275	22	1	33
E807	275	284	14	1	21
E808	284	298	2	1	3
E809	298	974	41	1	62
E810	974	291	20	1	30
E811	291	289	2	1	3
E812	289	973	14	1	21
E827	987	970	20	1	30
E832	144	135	23	1	35
E833	135	132	4	1	6
E834	132	994	19	1	29
E837	994	145	11	1	17
E847	1004	941	9	1	14
E866	1027	942	9	1	14
E895	24	56	17	1	26
E903	616	1052	8	1	12
E904	1052	617	12	1	18
E916	1076	1077	34	1	51
E920	1073	1082	27	1	41
E944	752	71	20	1	30
E950	1111	759	6	1	9
E951	759	760	10	1	15
E1101	1004	903	13	1	20
E1106	1166	1103	12	1	18
E1182	675	684	18	1	27
E1188	720	725	22	1	33
E1190	731	729	9	1	14
E1273	1222	1223	10	1	15
E1275	1222	1219	19	1	29
E1276	1221	1119	33	1	50
E1278	1115	1079	21	1	32
E1279	1225	1226	10	1	15
E1283	1220	1226	35	1	53
E1306	1121	1078	8	1	12
E1309	1082	1072	12	1	18

EDGE	FROM N.	TO N.	T. COST
NrE1	10	11	5
NrE2	11	12	9
NrE3	12	13	34
NrE4	13	14	4
NrE5	23	24	10
NrE6	25	26	10
NrE7	26	27	3
NrE8	28	29	15
NrE9	29	30	15
NrE10	30	31	28
NrE11	31	32	21
NrE12	33	34	28
NrE13	34	35	18
NrE14	35	28	77
NrE16	40	41	34
NrE18	44	45	19
NrE20	23	49	17
NrE22	56	49	10
NrE23	49	57	10
NrE24	58	59	11
NrE25	59	56	11
NrE26	61	62	10
NrE27	62	63	10
NrE28	63	22	21
NrE29	22	64	20
NrE30	65	66	9
NrE32	45	43	10
NrE33	43	67	10
NrE34	67	57	21
NrE35	68	69	11
NrE36	70	50	10
NrE37	50	67	9
NrE38	67	61	17
NrE39	61	46	10
NrE40	71	70	10
NrE41	72	73	11
NrE42	73	74	12
NrE43	76	77	53
NrE44	78	79	13
NrE45	79	80	43
NrE46	82	83	58
NrE47	85	86	41
NrE48	88	89	28
NrE49	89	90	8
NrE50	90	91	5
NrE51	91	92	10
NrE52	92	93	13
NrE53	93	94	12
NrE54	94	95	11
NrE55	95	96	11
NrE56	96	97	13
NrE57	98	88	12
NrE58	100	92	41
NrE59	101	95	29
NrE60	102	93	35
NrE61	103	94	31
NrE62	104	105	44
NrE63	105	90	6
NrE64	106	96	28
NrE65	89	107	17
NrE66	108	104	11
NrE67	104	100	11
NrE68	100	102	12
NrE69	102	103	11
NrE70	103	101	12
NrE71	101	106	12
NrE72	106	109	12
NrE73	111	112	17
NrE74	112	113	13
NrE75	113	114	18
NrE76	113	115	21
NrE77	112	116	41
NrE78	117	118	15
NrE79	118	119	18
NrE80	120	121	15
NrE81	121	122	16
NrE82	122	123	16
NrE83	118	124	3
NrE84	124	120	5
NrE85	120	125	10
NrE86	126	116	18
NrE87	116	127	18
NrE88	127	115	5
NrE89	115	114	23
NrE90	128	129	6
NrE91	129	119	11
NrE92	119	130	9
NrE93	117	121	7
NrE94	121	131	10
NrE95	136	137	12
NrE96	138	139	19
NrE97	139	140	18
NrE98	141	138	5
NrE99	142	139	11
NrE100	139	143	10
NrE104	146	147	33
NrE105	148	149	34
NrE106	149	150	30
NrE107	150	151	38
NrE108	152	153	33
NrE109	154	155	30
NrE110	158	159	33
NrE111	159	160	6
NrE112	161	162	30
NrE113	163	164	19
NrE114	164	165	30
NrE115	166	167	30
NrE116	168	169	12
NrE117	169	170	12
NrE118	170	171	12
NrE119	169	172	28
NrE120	172	173	27
NrE121	73	169	24
NrE122	172	174	12
NrE123	175	163	10
NrE124	176	160	10
NrE125	160	177	10
NrE126	177	178	10
NrE127	178	179	30
NrE128	180	147	10
NrE129	147	153	10
NrE130	153	176	3
NrE131	176	159	8
NrE132	181	164	10
NrE133	164	166	10
NrE134	166	154	11
NrE135	154	179	10
NrE136	179	161	10
NrE137	183	173	14
NrE138	173	184	13
NrE139	185	186	7
NrE140	186	187	11
NrE141	187	188	11
NrE142	188	189	12
NrE143	190	191	11
NrE144	191	192	11
NrE145	192	193	19
NrE146	194	195	21
NrE147	195	188	19
NrE148	188	196	14
NrE149	196	197	13
NrE150	202	194	12
NrE151	194	203	11
NrE152	203	204	11
NrE153	204	205	11
NrE154	206	207	8
NrE155	207	195	11
NrE156	195	208	12
NrE157	208	209	11
NrE158	209	210	6
NrE159	211	212	21
NrE160	212	213	20
NrE161	214	215	11
NrE162	215	216	11
NrE163	216	217	21
NrE164	217	211	16
NrE165	218	219	21
NrE166	219	220	20
NrE167	220	221	16
NrE168	222	223	14
NrE169	223	224	14
NrE170	224	225	18
NrE171	225	218	34
NrE172	226	227	21
NrE173	227	228	20
NrE174	228	229	15
NrE175	230	231	11
NrE176	231	232	13
NrE177	232	233	14
NrE178	233	234	20
NrE179	234	226	25
NrE180	235	236	19
NrE181	236	237	16
NrE182	238	222	2
NrE183	222	231	14
NrE184	231	214	28
NrE185	214	192	19
NrE186	192	203	18
NrE187	203	208	21
NrE188	208	189	19
NrE189	240	224	17
NrE190	224	233	14
NrE191	233	216	13
NrE192	216	190	20
NrE193	190	205	17
NrE194	205	241	14
NrE195	241	210	7
NrE196	88	242	4
NrE197	242	243	14
NrE198	244	245	18
NrE199	246	247	12
NrE200	248	243	9
NrE201	249	250	24
NrE202	250	251	2
NrE204	256	257	20
NrE205	258	259	11
NrE206	259	149	12
NrE207	149	260	11
NrE208	261	262	12
NrE209	262	263	6
NrE210	263	264	12
NrE211	266	218	11
NrE212	218	226	11
NrE213	226	211	11
NrE214	267	268	11
NrE215	268	245	3
NrE216	245	246	2
NrE217	246	253	11
NrE219	269	270	17
NrE220	270	271	20
NrE221	271	266	21
NrE222	266	272	7
NrE223	271	219	11
NrE224	219	227	11
NrE225	227	212	11
NrE226	212	256	11
NrE227	256	273	11
NrE229	244	252	13
NrE230	252	261	11
NrE231	261	279	30
NrE232	299	300	18
NrE233	300	35	8
NrE234	281	301	3
NrE235	307	308	34
NrE236	54	309	24
NrE237	313	314	17
NrE238	314	315	13
NrE239	315	316	13
NrE240	316	317	12
NrE241	320	321	17
NrE242	322	308	7
NrE243	308	323	13
NrE244	324	313	28
NrE245	325	326	13
NrE246	327	328	13
NrE247	328	329	29
NrE248	329	330	20
NrE249	331	332	15
NrE250	332	327	12
NrE251	334	335	20
NrE252	336	337	4
NrE253	337	338	20
NrE254	338	314	21
NrE255	314	339	13
NrE256	322	335	12
NrE257	335	343	14
NrE258	346	347	7
NrE259	347	348	21
NrE260	348	307	13
NrE261	349	350	21
NrE262	350	316	21
NrE263	316	351	12
NrE264	351	352	30
NrE265	339	309	2
NrE266	309	353	11
NrE267	353	351	12
NrE268	351	354	12
NrE269	354	355	10
NrE270	355	356	21
NrE271	356	357	12
NrE272	358	359	8
NrE273	359	360	2
NrE274	360	361	5
NrE275	361	362	18
NrE276	362	363	5
NrE277	364	365	8
NrE278	365	366	16
NrE279	366	367	15
NrE280	367	368	15
NrE281	368	358	13
NrE282	369	370	17
NrE283	371	372	2
NrE284	373	371	21
NrE285	378	362	10
NrE286	382	383	17
NrE287	387	388	11
NrE288	389	390	28
NrE289	393	394	11
NrE290	394	395	12
NrE291	359	372	34
NrE292	372	397	1
NrE293	400	401	14
NrE294	401	402	10
NrE295	403	364	22
NrE296	406	366	30
NrE297	366	382	12
NrE298	382	407	11
NrE299	407	408	5
NrE300	338	414	12
NrE301	414	350	13
NrE302	350	47	13
NrE303	415	383	7
NrE304	383	367	14
NrE305	367	416	26
NrE306	425	415	12
NrE307	415	426	17
NrE308	429	430	53
NrE309	430	431	5
NrE310	431	432	12
NrE311	433	434	20
NrE312	435	436	12
NrE313	437	438	18
NrE314	14	439	31
NrE315	442	443	28
NrE316	443	444	5
NrE317	444	445	5
NrE318	448	449	20
NrE319	449	236	21
NrE320	236	450	17
NrE321	451	452	16
NrE322	452	448	23
NrE323	321	453	4
NrE324	454	455	29
NrE325	456	454	6
NrE326	457	458	59
NrE327	458	459	13
NrE328	460	461	15
NrE329	462	460	5
NrE330	463	464	15
NrE331	465	466	12
NrE332	466	467	5
NrE333	468	469	7
NrE334	469	470	7
NrE335	453	471	13
NrE336	472	473	20
NrE337	473	460	11
NrE338	464	474	12
NrE339	475	458	11
NrE340	458	476	10
NrE341	476	464	14
NrE342	473	477	14
NrE343	477	478	15
NrE344	478	451	16
NrE345	451	479	16
NrE346	480	461	4
NrE347	461	477	11
NrE348	477	481	20
NrE349	482	483	16
NrE350	392	484	11
NrE351	484	485	11
NrE352	485	486	6
NrE353	486	487	6
NrE354	487	488	6
NrE355	488	489	6
NrE356	489	490	6
NrE357	490	491	6
NrE358	491	492	6
NrE359	492	493	7
NrE360	494	495	8
NrE361	498	485	43
NrE362	486	499	23
NrE363	488	500	23
NrE364	493	501	23
NrE365	502	503	8
NrE366	503	504	30
NrE367	490	505	22
NrE368	506	507	16
NrE369	509	510	32
NrE370	513	514	13
NrE371	514	515	15
NrE372	515	516	6
NrE373	516	517	10
NrE374	517	518	16
NrE375	519	18	24
NrE376	520	521	21
NrE377	522	523	38
NrE378	524	525	9
NrE379	525	526	7
NrE380	527	528	8
NrE381	528	529	9
NrE382	530	531	14
NrE383	492	533	22
NrE384	534	535	32
NrE385	536	537	33
NrE386	538	487	43
NrE387	539	491	41
NrE388	540	541	12
NrE390	545	546	14
NrE391	507	548	2
NrE392	548	549	12
NrE393	550	551	13
NrE394	551	552	9
NrE395	551	553	14
NrE396	553	439	14
NrE397	554	484	43
NrE398	484	495	23
NrE399	495	510	10
NrE400	510	555	10
NrE401	557	558	18
NrE402	558	559	11
NrE403	561	550	10
NrE404	444	562	13
NrE405	563	526	4
NrE406	526	529	10
NrE407	529	564	11
NrE408	564	565	18
NrE409	565	566	19
NrE410	566	567	13
NrE411	567	568	8
NrE412	568	569	9
NrE413	569	570	12
NrE414	570	571	13
NrE415	572	573	16
NrE416	573	574	18
NrE417	575	576	17
NrE418	576	577	15
NrE419	580	552	11
NrE420	552	553	12
NrE421	558	520	9
NrE422	520	581	10
NrE423	582	583	11
NrE424	584	535	13
NrE425	535	585	12
NrE426	585	586	17
NrE427	586	587	16
NrE428	587	588	1
NrE429	445	589	5
NrE430	590	532	13
NrE431	532	591	9
NrE432	591	555	10
NrE433	16	592	14
NrE434	592	542	7
NrE435	542	593	5
NrE436	595	554	12
NrE437	554	498	12
NrE438	498	538	11
NrE439	538	556	12
NrE440	124	129	20
NrE441	497	598	47
NrE442	599	585	32
NrE443	585	575	7
NrE444	575	600	6
NrE445	600	601	11
NrE446	602	521	12
NrE447	521	540	2
NrE448	540	559	12
NrE449	559	546	13
NrE450	546	603	13
NrE451	603	604	10
NrE452	604	605	7
NrE453	606	607	2
NrE454	607	605	1
NrE455	608	606	5
NrE456	609	522	6
NrE457	522	610	20
NrE458	612	541	48
NrE459	582	613	17
NrE460	613	508	12
NrE461	508	614	15
NrE462	615	549	8
NrE465	248	247	3
NrE466	247	264	21
NrE468	618	255	1
NrE469	98	248	19
NrE470	157	177	39
NrE471	620	170	20
NrE472	170	174	30
NrE473	174	184	32
NrE474	619	165	11
NrE475	165	167	10
NrE476	167	155	11
NrE477	155	178	9
NrE478	178	162	10
NrE479	157	158	10
NrE480	158	152	10
NrE481	152	146	10
NrE482	146	621	10
NrE483	621	622	4
NrE484	441	630	11
NrE485	630	376	12
NrE486	636	637	5
NrE487	639	425	3
NrE488	640	31	9
NrE489	397	641	5
NrE490	641	32	7
NrE491	408	642	4
NrE492	642	643	11
NrE493	643	29	11
NrE494	644	518	10
NrE495	518	504	9
NrE496	504	423	13
NrE497	645	646	5
NrE498	470	644	4
NrE499	647	640	4
NrE500	646	511	4
NrE501	465	648	35
NrE502	652	653	17
NrE503	653	654	11
NrE504	657	658	20
NrE505	658	197	23
NrE506	207	187	20
NrE510	596	664	21
NrE511	661	665	6
NrE513	666	667	10
NrE517	665	672	30
NrE518	672	659	10
NrE519	659	673	20
NrE520	527	524	9
NrE521	663	669	10
NrE523	671	673	10
NrE525	675	676	10
NrE526	676	677	9
NrE527	677	678	10
NrE528	678	679	9
NrE530	680	681	9
NrE531	682	683	9
NrE532	684	676	14
NrE533	685	682	8
NrE534	682	677	12
NrE535	677	686	9
NrE536	686	687	10
NrE541	571	687	21
NrE544	694	695	9
NrE545	570	694	20
NrE546	568	696	7
NrE547	696	697	18
NrE549	700	701	12
NrE550	701	702	10
NrE552	698	701	9
NrE553	693	695	8
NrE554	697	699	10
NrE555	702	703	10
NrE556	703	704	10
NrE557	705	703	14
NrE558	706	704	9
NrE559	704	707	13
NrE560	708	709	9
NrE561	709	707	19
NrE563	710	708	11
NrE564	708	711	10
NrE565	711	712	10
NrE566	567	700	9
NrE568	705	706	10
NrE569	706	709	10
NrE574	717	718	15
NrE575	710	706	10
NrE576	707	719	10
NrE577	719	720	9
NrE578	720	721	10
NrE579	721	722	10
NrE580	722	723	3
NrE583	719	724	22
NrE585	715	720	20
NrE587	725	726	9
NrE589	727	721	12
NrE591	726	728	4
NrE592	717	729	17
NrE593	729	730	26
NrE594	727	731	16
NrE595	728	733	10
NrE596	733	734	9
NrE598	735	732	9
NrE600	736	734	15
NrE601	736	735	15
NrE602	723	736	14
NrE603	737	660	10
NrE604	660	674	27
NrE605	738	739	13
NrE606	739	563	4
NrE607	741	742	10
NrE609	743	744	10
NrE611	745	746	2
NrE612	24	747	12
NrE614	749	750	12
NrE615	750	751	14
NrE616	751	752	10
NrE618	752	754	16
NrE619	755	756	5
NrE620	756	757	10
NrE621	757	758	26
NrE623	761	744	47
NrE625	764	765	48
NrE626	766	767	10
NrE631	771	772	3
NrE632	773	774	18
NrE633	775	776	34
NrE634	777	776	2
NrE635	776	778	11
NrE636	778	779	11
NrE637	779	780	12
NrE638	780	781	11
NrE639	781	782	11
NrE640	783	782	22
NrE641	784	780	27
NrE642	785	781	24
NrE643	786	778	32
NrE644	778	771	22
NrE645	262	254	11
NrE646	254	788	11
NrE647	788	789	12
NrE648	618	790	19
NrE650	249	791	2
NrE651	791	787	10
NrE652	787	792	4
NrE654	793	229	35
NrE655	229	221	11
NrE656	221	269	12
NrE657	269	794	6
NrE658	795	751	10
NrE660	27	39	8
NrE661	39	37	10
NrE662	37	65	3
NrE663	65	796	2
NrE664	796	36	6
NrE665	36	799	7
NrE666	799	749	10
NrE667	749	800	20
NrE668	801	561	17
NrE669	561	802	11
NrE670	802	442	12
NrE671	304	608	34
NrE672	441	399	14
NrE673	399	808	11
NrE674	438	809	8
NrE675	809	810	6
NrE676	810	432	12
NrE677	833	837	12
NrE678	837	838	12
NrE679	844	845	12
NrE680	845	836	12
NrE681	838	844	14
NrE682	837	845	14
NrE683	846	834	14
NrE684	846	847	7
NrE685	848	847	5
NrE686	847	849	9
NrE687	849	834	7
NrE688	848	850	8
NrE689	851	850	24
NrE690	427	319	6
NrE691	853	855	2
NrE692	20	447	50
NrE693	32	864	39
NrE694	869	513	17
NrE695	513	645	15
NrE696	872	424	6
NrE697	879	880	7
NrE698	111	110	7
NrE699	495	499	17
NrE700	499	500	12
NrE701	500	882	6
NrE702	882	505	6
NrE703	505	533	11
NrE704	533	501	8
NrE705	501	609	14
NrE706	885	886	12
NrE707	886	887	11
NrE708	887	888	23
NrE709	885	889	40
NrE710	883	343	19
NrE711	614	573	19
NrE712	573	483	16
NrE713	648	583	34
NrE714	583	892	49
NrE715	69	893	27
NrE716	893	894	34
NrE717	821	895	5
NrE718	137	899	12
NrE719	512	900	7
NrE720	512	901	5
NrE721	901	469	15
NrE722	902	893	11
NrE723	903	902	9
NrE724	904	905	17
NrE725	394	906	21
NrE726	906	904	24
NrE727	907	418	15
NrE728	643	912	33
NrE729	341	331	23
NrE730	331	913	20
NrE731	915	916	14
NrE733	917	918	8
NrE734	918	919	12
NrE735	922	915	15
NrE736	917	931	60
NrE737	463	450	13
NrE738	450	459	7
NrE739	865	935	21
NrE740	481	865	31
NrE741	864	472	2
NrE742	472	468	9
NrE743	468	936	14
NrE744	936	900	5
NrE745	900	462	4
NrE746	462	937	32
NrE747	938	939	14
NrE748	940	68	9
NrE749	68	941	13
NrE750	902	942	16
NrE751	942	33	14
NrE752	943	940	5
NrE753	947	948	19
NrE754	407	950	14
NrE755	950	403	14
NrE756	365	950	21
NrE757	951	277	26
NrE758	175	181	20
NrE759	181	171	11
NrE760	97	109	28
NrE761	503	515	9
NrE762	870	502	12
NrE763	243	265	24
NrE764	265	258	7
NrE767	251	954	8
NrE768	109	84	28
NrE769	955	919	46
NrE770	919	946	3
NrE771	946	956	23
NrE772	955	943	26
NrE773	329	389	8
NrE774	389	957	12
NrE775	307	958	18
NrE776	958	329	7
NrE777	168	183	49
NrE778	183	239	11
NrE779	239	475	56
NrE780	475	959	12
NrE781	960	792	15
NrE782	792	938	32
NrE783	938	939	9
NrE784	939	74	36
NrE788	343	332	19
NrE789	332	963	22
NrE790	964	327	8
NrE791	327	965	21
NrE792	335	964	10
NrE793	393	885	29
NrE794	967	968	12
NrE795	968	886	34
NrE796	886	394	30
NrE797	969	970	14
NrE798	970	967	10
NrE799	967	889	11
NrE800	33	969	10
NrE801	299	971	11
NrE802	971	887	11
NrE803	887	972	11
NrE804	972	949	12
NrE805	949	395	7
NrE813	273	976	20
NrE814	976	793	10
NrE815	352	806	19
NrE816	353	315	13
NrE817	315	414	21
NrE818	414	914	21
NrE819	328	390	7
NrE820	390	982	13
NrE821	982	983	13
NrE822	345	356	13
NrE823	356	348	11
NrE824	348	958	18
NrE825	323	334	13
NrE826	334	883	14
NrE828	593	482	16
NrE829	482	572	16
NrE830	993	144	56
NrE831	114	993	11
NrE835	142	947	8
NrE836	947	995	9
NrE838	145	142	5
NrE839	996	604	45
NrE840	432	435	29
NrE841	435	997	14
NrE842	998	999	10
NrE843	999	1000	7
NrE844	1000	1001	9
NrE845	1001	1002	8
NrE846	562	802	24
NrE848	1005	68	10
NrE849	831	996	10
NrE850	996	1006	10
NrE851	1006	557	23
NrE852	557	545	11
NrE853	545	603	10
NrE854	1001	1011	13
NrE855	1012	1013	17
NrE856	439	1012	3
NrE857	450	476	14
NrE858	476	457	66
NrE859	457	183	16
NrE860	1015	78	1
NrE861	78	1016	7
NrE862	1016	1017	1
NrE863	1017	1018	3
NrE864	1018	1015	4
NrE865	932	921	4
NrE867	387	344	21
NrE868	619	171	19
NrE869	85	1030	17
NrE870	1030	1031	14
NrE871	1031	1032	13
NrE872	1032	1033	12
NrE873	1030	1034	37
NrE874	1031	1035	35
NrE875	1035	1036	13
NrE876	1037	1038	7
NrE877	1038	1039	26
NrE878	79	1040	28
NrE879	1040	1041	12
NrE880	1041	1042	12
NrE881	1033	1043	11
NrE882	1043	1044	22
NrE883	1044	1045	26
NrE884	1036	1041	27
NrE885	1046	1040	21
NrE886	596	668	9
NrE887	668	670	10
NrE888	670	672	10
NrE889	672	662	10
NrE890	662	737	6
NrE891	143	1047	17
NrE892	1047	123	5
NrE893	123	1048	16
NrE894	28	474	33
NrE896	56	70	21
NrE897	70	42	10
NrE898	42	44	10
NrE899	44	795	10
NrE900	795	797	10
NrE901	797	799	10
NrE902	1051	616	1
NrE905	867	1057	3
NrE906	1058	238	3
NrE907	1061	952	15
NrE908	952	467	25
NrE909	1062	648	14
NrE910	1038	1065	32
NrE911	1068	1069	33
NrE912	1039	1065	12
NrE913	1072	1073	24
NrE914	1073	1074	16
NrE915	1074	1075	4
NrE917	1078	1077	4
NrE918	1077	1079	16
NrE919	1079	1080	22
NrE921	180	1083	10
NrE922	1083	1084	24
NrE923	1084	1085	10
NrE924	1045	1093	40
NrE925	1093	1094	21
NrE926	1039	1095	46
NrE927	1065	1096	52
NrE928	1042	1093	12
NrE929	1093	1097	12
NrE930	1094	1098	11
NrE931	519	1099	4
NrE932	186	1100	13
NrE933	1100	658	14
NrE934	196	1100	23
NrE935	906	909	15
NrE936	14	1071	14
NrE937	891	1022	30
NrE938	891	1103	10
NrE939	1103	987	10
NrE940	537	1107	7
NrE941	1107	1108	21
NrE942	1108	1109	13
NrE943	1109	588	4
NrE945	71	59	21
NrE946	798	762	10
NrE947	762	764	11
NrE948	764	766	9
NrE949	1110	1111	4
NrE952	760	761	10
NrE953	761	1112	10
NrE954	1112	798	2
NrE955	754	1111	6
NrE956	1110	754	5
NrE957	746	763	9
NrE958	763	765	10
NrE959	765	768	11
NrE960	768	758	10
NrE961	748	58	13
NrE962	58	1110	25
NrE963	741	748	10
NrE964	1060	1121	36
NrE965	1075	1117	2
NrE966	1060	1120	2
NrE967	84	934	10
NrE968	934	75	5
NrE969	75	933	7
NrE970	933	1123	7
NrE971	1123	81	5
NrE972	81	1049	9
NrE973	1049	87	3
NrE974	87	86	11
NrE975	86	77	11
NrE976	77	1050	3
NrE977	1050	83	9
NrE978	83	99	4
NrE979	99	80	8
NrE980	85	76	17
NrE981	76	82	12
NrE982	82	1018	9
NrE983	1042	1124	33
NrE984	1124	1125	20
NrE985	1125	1032	34
NrE986	1126	1037	24
NrE987	1043	1126	11
NrE988	1039	1045	12
NrE989	1045	1124	11
NrE990	1124	1036	12
NrE991	1036	1046	12
NrE992	1046	1016	10
NrE993	772	1014	5
NrE994	107	774	5
NrE995	774	1131	28
NrE996	1131	148	8
NrE997	148	242	5
NrE998	1131	773	16
NrE999	773	775	12
NrE1000	775	260	3
NrE1001	260	786	9
NrE1002	786	1132	21
NrE1003	1132	784	4
NrE1004	784	785	12
NrE1005	785	783	11
NrE1006	1130	777	4
NrE1007	954	1133	12
NrE1008	1133	150	11
NrE1009	150	1132	11
NrE1010	1134	995	5
NrE1011	995	140	9
NrE1012	140	1047	12
NrE1013	1047	1135	9
NrE1014	1136	136	17
NrE1015	136	1135	17
NrE1016	1135	1064	9
NrE1017	1064	1137	11
NrE1018	1137	131	15
NrE1019	131	125	15
NrE1020	125	597	16
NrE1021	597	128	2
NrE1022	1048	122	6
NrE1023	948	1134	18
NrE1024	880	1139	7
NrE1025	983	1142	4
NrE1026	1142	1143	20
NrE1027	1144	806	15
NrE1028	835	852	14
NrE1029	852	10	3
NrE1030	10	851	2
NrE1031	353	41	3
NrE1032	41	806	40
NrE1033	337	914	12
NrE1034	914	349	13
NrE1035	349	910	12
NrE1036	910	928	1
NrE1037	293	325	51
NrE1038	344	292	34
NrE1039	292	293	3
NrE1040	951	1019	55
NrE1041	325	951	5
NrE1042	388	345	21
NrE1043	345	357	17
NrE1044	357	323	46
NrE1045	388	355	12
NrE1046	317	388	13
NrE1047	892	1150	7
NrE1048	821	374	11
NrE1049	895	817	6
NrE1050	817	1154	9
NrE1051	1154	436	13
NrE1052	436	440	13
NrE1053	440	810	17
NrE1054	1156	957	5
NrE1055	957	1157	5
NrE1056	957	1158	6
NrE1057	317	47	21
NrE1058	47	928	20
NrE1059	928	911	11
NrE1060	911	879	17
NrE1061	1158	1143	4
NrE1062	1143	957	6
NrE1063	1158	982	21
NrE1064	982	965	14
NrE1065	965	963	12
NrE1066	983	981	13
NrE1067	306	1159	3
NrE1068	1007	827	2
NrE1069	1008	826	2
NrE1070	1009	825	2
NrE1071	1010	824	2
NrE1072	883	884	9
NrE1073	884	890	5
NrE1074	343	913	14
NrE1075	913	310	15
NrE1076	310	393	14
NrE1077	280	961	2
NrE1078	294	288	2
NrE1079	295	287	2
NrE1080	296	286	2
NrE1081	297	285	2
NrE1082	932	918	16
NrE1083	1037	1044	12
NrE1084	1044	1125	12
NrE1085	1125	1035	12
NrE1086	1035	1034	12
NrE1087	1034	1017	10
NrE1088	1160	1133	34
NrE1089	1133	259	29
NrE1090	259	243	27
NrE1091	622	1161	2
NrE1092	1161	1160	3
NrE1093	621	180	33
NrE1094	1090	1088	44
NrE1095	1088	1163	2
NrE1096	74	894	35
NrE1097	894	33	16
NrE1098	969	300	42
NrE1099	1164	1005	13
NrE1100	1005	1004	13
NrE1102	903	1027	12
NrE1103	1027	969	15
NrE1104	300	888	23
NrE1105	888	984	12
NrE1107	1103	967	20
NrE1108	972	984	28
NrE1109	855	418	23
NrE1110	1056	225	26
NrE1111	225	234	15
NrE1112	234	217	14
NrE1113	235	1168	16
NrE1114	1168	866	20
NrE1115	1169	478	18
NrE1116	478	1170	13
NrE1117	426	1172	2
NrE1118	1055	223	9
NrE1119	223	232	14
NrE1120	232	215	21
NrE1121	215	191	20
