Name:		lavras02
Optimal value:	3432
#Vehicles:	1
Capacity:	5400
Depot Node:	551
#Nodes:		551
#Edges:		552
#Arcs:		284
#Required N:	0
#Required E:	82
#Required A:	0

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
NrE144	186	172	28
NrE145	187	188	13
NrE146	189	190	15
NrE147	192	193	20
NrE148	194	195	4
NrE149	195	196	20
NrE150	196	173	21
NrE151	173	197	13
NrE152	184	193	12
NrE153	193	201	14
NrE154	204	205	7
NrE155	205	206	21
NrE156	206	166	13
NrE157	208	209	21
NrE158	209	175	21
NrE159	175	210	12
NrE160	210	211	30
NrE161	197	168	2
NrE162	168	212	11
NrE163	212	210	12
NrE164	210	213	12
NrE165	213	214	10
NrE166	214	215	21
NrE167	215	216	12
NrE168	217	218	8
NrE169	218	219	2
NrE170	219	220	5
NrE171	220	221	18
NrE172	221	222	5
NrE173	223	224	8
NrE174	224	225	16
NrE175	225	226	15
NrE176	226	227	15
NrE177	227	217	13
NrE178	228	207	15
NrE179	229	230	17
NrE180	231	232	2
NrE181	233	231	21
NrE182	238	221	10
NrE183	239	240	17
NrE184	244	245	11
NrE185	246	247	11
NrE186	247	248	12
NrE187	218	232	34
NrE188	232	250	1
NrE189	253	254	14
NrE190	254	255	10
NrE191	256	223	22
NrE192	257	225	30
NrE193	225	239	12
NrE194	239	258	11
NrE195	258	259	5
NrE196	196	264	12
NrE197	264	209	13
NrE198	209	25	13
NrE199	265	240	7
NrE200	240	226	14
NrE201	226	266	26
NrE202	272	265	12
NrE203	265	273	17
NrE204	276	277	53
NrE205	277	278	5
NrE206	278	279	12
NrE207	280	281	20
NrE208	282	283	12
NrE209	284	285	18
NrE210	290	291	20
NrE211	291	144	21
NrE212	144	292	17
NrE213	293	294	16
NrE214	294	290	23
NrE215	180	295	4
NrE216	296	297	29
NrE217	298	296	6
NrE218	299	300	15
NrE219	301	302	15
NrE220	303	304	12
NrE221	304	305	5
NrE222	295	306	13
NrE223	307	308	20
NrE224	308	299	11
NrE225	302	309	12
NrE226	308	310	14
NrE227	310	311	15
NrE228	311	293	16
NrE229	293	312	16
NrE230	313	300	4
NrE231	300	310	11
NrE232	310	314	20
NrE233	315	316	16
NrE234	318	13	24
NrE235	321	322	16
NrE236	322	323	18
NrE237	324	325	11
NrE238	11	326	14
NrE239	326	319	7
NrE240	319	327	5
NrE241	324	328	17
NrE242	328	317	12
NrE243	317	329	15
NrE244	287	337	11
NrE245	337	236	12
NrE246	339	272	3
NrE247	340	20	9
NrE248	250	341	5
NrE249	341	21	7
NrE250	259	342	4
NrE251	342	343	11
NrE252	343	18	11
NrE253	344	340	4
NrE254	303	345	35
NrE255	351	352	20
NrE256	352	105	23
NrE257	115	95	20
NrE258	353	137	35
NrE259	137	129	11
NrE260	129	152	12
NrE261	152	354	6
NrE262	287	252	14
NrE263	252	357	11
NrE264	285	358	8
NrE265	358	359	6
NrE266	359	279	12
NrE267	274	178	6
NrE268	377	379	2
NrE269	15	289	50
NrE270	21	388	39
NrE272	403	404	13
NrE273	404	405	13
NrE275	33	403	16
NrE276	408	409	12
NrE277	409	410	11
NrE278	410	411	23
NrE279	408	412	40
NrE280	406	201	19
NrE281	412	414	20
NrE282	329	322	19
NrE283	322	316	16
NrE284	345	325	34
NrE285	325	415	49
NrE286	369	416	5
NrE287	419	420	17
NrE288	247	421	21
NrE289	421	419	24
NrE290	422	267	15
NrE296	343	428	33
NrE297	199	189	23
NrE298	189	429	20
NrE299	301	292	13
NrE300	389	434	21
NrE301	314	389	31
NrE302	388	307	2
NrE303	33	435	12
NrE304	435	36	11
NrE305	436	89	17
NrE310	435	438	11
NrE311	91	439	17
NrE312	439	34	15
NrE313	34	440	1
NrE314	258	443	14
NrE315	443	256	14
NrE316	224	443	21
NrE317	444	158	26
NrE318	446	447	13
NrE319	166	450	18
NrE320	201	190	19
NrE321	190	453	22
NrE322	246	408	29
NrE323	455	456	12
NrE324	456	409	34
NrE325	409	247	30
NrE326	457	458	14
NrE327	458	455	10
NrE328	455	412	11
NrE329	164	459	11
NrE330	459	410	11
NrE331	410	460	11
NrE332	460	442	12
NrE333	442	248	7
NrE334	156	462	20
NrE335	462	353	10
NrE336	403	50	18
NrE337	50	447	13
NrE338	38	463	5
NrE339	463	403	26
NrE340	440	464	14
NrE341	464	465	26
NrE342	466	440	20
NrE343	466	63	26
NrE344	63	399	23
NrE345	399	33	19
NrE346	211	356	19
NrE347	212	174	13
NrE348	174	264	21
NrE349	264	430	21
NrE350	203	215	13
NrE351	215	206	11
NrE352	206	450	18
NrE353	185	192	13
NrE354	192	406	14
NrE355	473	458	20
NrE356	327	315	16
NrE357	315	321	16
NrE358	228	439	25
NrE359	439	465	37
NrE360	228	35	1
NrE361	35	466	19
NrE362	279	282	29
NrE363	282	479	14
NrE364	244	202	21
NrE365	491	492	7
NrE366	17	309	33
NrE368	60	48	23
NrE369	48	405	16
NrE370	405	68	18
NrE371	89	494	18
NrE372	494	60	24
NrE373	89	495	12
NrE374	495	181	13
NrE375	181	228	13
NrE376	68	496	11
NrE377	391	501	3
NrE378	502	146	3
NrE379	503	445	15
NrE380	445	305	25
NrE381	504	345	14
NrE382	508	509	33
NrE383	318	510	4
NrE384	94	511	13
NrE385	511	352	14
NrE386	104	511	23
NrE387	421	424	15
NrE388	447	62	10
NrE389	62	183	26
NrE390	414	484	30
NrE391	414	513	10
NrE392	513	473	10
NrE401	494	516	12
NrE402	516	183	13
NrE403	183	466	13
NrE410	518	436	13
NrE411	436	519	12
NrE412	519	182	12
NrE418	61	446	11
NrE419	446	49	12
NrE420	49	404	16
NrE421	404	496	20
NrE422	519	495	16
NrE423	495	516	19
NrE424	516	61	25
NrE425	491	519	25
NrE426	492	182	19
NrE431	518	88	14
NrE433	438	37	16
NrE435	212	24	3
NrE436	24	356	40
NrE437	195	430	12
NrE438	430	208	13
NrE439	208	425	12
NrE440	425	431	1
NrE441	163	187	51
NrE442	202	162	34
NrE443	162	163	3
NrE444	444	481	55
NrE445	187	444	5
NrE446	245	203	21
NrE447	203	216	17
NrE448	216	185	46
NrE449	245	214	12
NrE450	176	245	13
NrE451	415	526	7
NrE452	369	234	11
NrE453	416	366	6
NrE454	366	527	9
NrE455	527	283	13
NrE456	283	286	13
NrE457	286	359	17
NrE458	176	25	21
NrE459	25	431	20
NrE460	431	426	11
NrE461	426	398	17
NrE462	406	407	9
NrE463	407	413	5
NrE464	201	429	14
NrE465	429	169	15
NrE466	169	246	14
NrE467	457	165	42
NrE468	165	411	23
NrE469	411	470	12
NrE470	513	455	20
NrE471	460	470	28
NrE472	379	267	23
NrE473	500	133	26
NrE474	133	142	15
NrE475	142	125	14
NrE476	143	531	16
NrE477	531	390	20
NrE478	532	311	18
NrE479	311	533	13
NrE480	273	535	2
NrE481	499	131	9
NrE482	131	140	14
NrE483	140	123	21
NrE484	123	99	20
NrE485	99	112	18
NrE486	112	117	21
NrE487	145	499	3
NrE488	539	312	10
NrE489	540	354	17
NrE490	540	153	7
NrE491	153	128	12
NrE492	128	136	11
NrE493	136	121	11
NrE494	121	150	11
NrE495	150	462	12
NrE496	20	434	19
NrE497	434	531	15
NrE498	531	291	17
NrE499	291	536	17
NrE500	536	500	2
NrE501	27	186	11
NrE502	186	480	5
NrE503	480	542	20
NrE504	542	194	15
NrE505	194	400	14
NrE506	227	534	6
NrE507	535	392	14
NrE508	392	233	1
NrE509	233	344	10
NrE510	534	535	4
NrE511	316	326	18
NrE512	316	10	15
NrE513	508	512	14
NrE514	512	490	20
NrE515	288	545	21
NrE516	509	545	7
NrE517	545	280	10
NrE518	280	512	9
NrE519	276	288	10
NrE520	288	281	10
NrE521	281	490	10
NrE522	490	433	9
NrE523	433	16	19
NrE524	479	527	11
NrE525	453	199	14
NrE526	204	213	8
NrE527	213	176	12
NrE528	461	538	2
NrE529	400	32	21
NrE530	32	398	13
NrE531	533	313	15
NrE532	351	93	28
NrE533	93	546	8
NrE534	546	547	6
NrE535	547	114	9
NrE536	114	350	11
NrE537	350	92	4
NrE538	92	110	8
NrE539	110	548	8
NrE540	548	101	11
NrE541	101	549	9
NrE542	549	488	17
NrE543	488	550	20
NrE544	550	138	9
NrE545	138	498	10
NrE546	364	246	56
NrE547	458	164	32
NrE548	497	537	2
NrE549	390	532	28
NrE550	19	339	26
NrE551	155	551	14
NrE552	551	461	20

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	32
NrA2	2	3	16
NrA3	3	4	17
NrA4	4	5	22
NrA5	5	6	6
NrA6	6	7	13
NrA7	8	9	24
NrA8	10	11	21
NrA9	11	12	23
NrA10	12	13	19
NrA11	13	14	17
NrA12	14	15	17
NrA13	15	16	42
NrA14	25	26	13
NrA15	27	28	30
NrA16	28	29	15
NrA17	29	30	8
NrA18	30	23	16
NrA19	23	31	18
NrA20	32	33	26
NrA21	90	91	9
NrA22	106	107	12
NrA23	107	108	9
NrA24	108	109	16
NrA25	157	158	12
NrA26	158	159	8
NrA27	169	170	26
NrA28	177	107	17
NrA29	107	178	21
NrA30	191	90	13
NrA31	198	199	19
NrA32	179	200	11
NrA33	202	203	11
NrA34	182	207	12
NrA35	207	91	31
NrA36	234	235	3
NrA37	236	237	17
NrA38	5	30	23
NrA39	241	219	5
NrA40	1	251	18
NrA41	251	252	9
NrA42	29	230	11
NrA43	230	6	14
NrA44	260	241	14
NrA45	241	220	8
NrA46	261	262	11
NrA47	262	263	7
NrA48	267	257	9
NrA49	257	268	7
NrA50	268	266	6
NrA51	266	109	13
NrA52	109	269	14
NrA53	269	260	3
NrA54	260	238	33
NrA55	238	270	15
NrA56	270	271	3
NrA57	274	275	15
NrA58	286	284	12
NrA59	284	287	10
NrA60	269	274	13
NrA61	252	285	15
NrA62	288	289	44
NrA63	320	12	16
NrA64	330	331	12
NrA65	331	1	24
NrA66	1	332	14
NrA67	333	334	23
NrA68	177	335	6
NrA69	271	320	13
NrA70	336	5	17
NrA71	337	283	22
NrA72	346	8	5
NrA73	346	347	12
NrA74	347	253	21
NrA75	253	348	17
NrA76	349	346	40
NrA77	349	191	6
NrA78	336	347	23
NrA79	347	191	40
NrA80	356	31	13
NrA81	360	361	14
NrA82	330	333	3
NrA83	362	363	22
NrA84	364	334	21
NrA85	198	365	16
NrA86	366	367	22
NrA87	335	262	9
NrA88	249	243	20
NrA89	243	369	13
NrA90	370	371	16
NrA91	371	242	15
NrA92	242	336	12
NrA93	7	346	7
NrA94	7	8	7
NrA95	8	229	11
NrA96	372	373	8
NrA97	373	362	7
NrA98	362	360	22
NrA99	372	374	8
NrA100	375	373	11
NrA101	335	361	4
NrA102	361	375	26
NrA103	375	376	6
NrA104	274	108	20
NrA105	108	377	19
NrA106	377	378	2
NrA107	178	275	14
NrA108	275	380	5
NrA109	178	381	10
NrA110	380	382	16
NrA111	382	383	2
NrA112	384	385	5
NrA113	385	381	14
NrA114	381	106	24
NrA115	15	381	16
NrA116	385	14	17
NrA117	384	380	7
NrA118	382	386	3
NrA119	387	383	4
NrA120	387	386	4
NrA121	386	384	15
NrA122	383	238	14
NrA123	270	222	16
NrA124	21	297	12
NrA125	297	389	10
NrA126	389	390	15
NrA127	390	290	18
NrA128	290	391	16
NrA129	394	10	4
NrA130	395	396	4
NrA131	398	36	25
NrA132	399	400	31
NrA133	406	188	7
NrA134	188	407	10
NrA135	170	413	14
NrA136	408	170	13
NrA137	412	157	11
NrA138	157	188	29
NrA139	415	329	16
NrA140	417	418	12
NrA141	423	424	14
NrA142	424	248	21
NrA143	425	426	17
NrA144	423	223	20
NrA145	422	423	18
NrA146	223	422	25
NrA147	413	429	21
NrA148	400	430	10
NrA149	431	432	13
NrA150	441	349	6
NrA151	91	441	10
NrA152	355	255	17
NrA153	255	336	20
NrA154	355	249	16
NrA155	348	355	24
NrA156	432	26	20
NrA157	263	16	11
NrA158	467	468	1
NrA159	468	469	23
NrA160	469	332	13
NrA161	332	368	12
NrA162	31	467	15
NrA163	367	236	12
NrA164	470	471	27
NrA165	471	428	4
NrA166	428	472	2
NrA167	159	414	11
NrA168	16	475	16
NrA169	475	476	16
NrA170	476	477	10
NrA171	477	417	16
NrA172	417	478	29
NrA173	237	370	18
NrA174	229	28	12
NrA175	481	161	1
NrA176	161	482	3
NrA177	449	483	6
NrA178	484	485	3
NrA179	486	160	3
NrA180	160	481	1
NrA181	487	484	4
NrA182	9	465	3
NrA183	489	244	11
NrA184	497	498	2
NrA185	498	146	7
NrA186	146	499	12
NrA187	499	147	11
NrA188	147	500	12
NrA189	500	501	20
NrA190	501	461	18
NrA191	505	306	1
NrA192	306	474	1
NrA193	474	504	2
NrA194	504	503	2
NrA195	503	505	2
NrA196	483	487	1
NrA197	487	485	2
NrA198	485	486	1
NrA199	26	489	6
NrA200	512	475	28
NrA201	522	523	1
NrA202	523	483	4
NrA203	191	349	7
NrA204	3	370	24
NrA205	370	524	27
NrA206	31	3	18
NrA207	486	525	2
NrA208	525	452	1
NrA209	452	522	1
NrA210	523	449	5
NrA211	524	235	2
NrA212	524	234	2
NrA213	235	338	12
NrA214	338	371	18
NrA215	371	4	23
NrA216	357	528	2
NrA217	478	357	4
NrA218	528	251	9
NrA219	251	237	32
NrA220	478	528	4
NrA221	4	23	21
NrA222	237	2	22
NrA223	2	468	15
NrA224	365	333	9
NrA225	365	331	4
NrA226	482	525	1
NrA227	472	529	2
NrA228	529	256	12
NrA229	530	379	2
NrA230	530	378	2
NrA231	378	177	8
NrA232	360	530	3
NrA233	18	309	14
NrA234	109	227	21
NrA235	534	273	5
NrA236	391	536	20
NrA237	536	145	23
NrA238	145	502	12
NrA239	502	537	8
NrA240	538	391	18
NrA241	538	294	16
NrA242	294	532	18
NrA243	532	314	15
NrA244	314	298	11
NrA245	106	261	4
NrA246	261	335	11
NrA247	526	323	15
NrA248	323	393	10
NrA249	393	394	7
NrA250	394	320	43
NrA251	320	387	17
NrA252	9	541	4
NrA253	541	27	8
NrA254	376	374	4
NrA255	374	418	22
NrA256	418	330	11
NrA257	200	543	9
NrA258	448	544	4
NrA259	543	544	8
NrA260	397	396	4
NrA261	544	395	4
NrA262	395	397	4
NrA263	396	179	15
NrA264	543	448	6
NrA265	510	510	16
NrA266	376	476	15
NrA267	476	507	13
NrA268	507	506	10
NrA269	506	508	7
NrA270	453	368	22
NrA271	368	198	15
NrA272	198	454	12
NrA273	454	364	21
NrA274	364	171	9
NrA275	171	363	10
NrA276	363	420	14
NrA277	420	267	16
NrA278	539	538	4
NrA279	334	372	10
NrA280	451	497	3
NrA281	537	451	3
NrA282	298	388	8
NrA283	465	541	3
NrA284	461	539	4
