Name:		lavras03
Optimal value:	1915
#Vehicles:	1
Capacity:	5400
Depot Node:	231
#Nodes:		239
#Edges:		304
#Arcs:		57
#Required N:	8
#Required E:	11
#Required A:	0

ReN.	DEMAND	S. COST
N232	1	20
N233	1	20
N234	1	20
N235	1	20
N236	1	20
N237	1	20
N238	1	20
N239	1	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E185	160	164	35	1	53
E188	169	170	12	1	18
E191	173	174	26	1	39
E196	167	182	32	1	48
E202	194	183	32	1	48
E204	168	197	46	1	69
E214	171	202	33	1	50
E216	203	161	34	1	51
E218	172	204	11	1	17
E221	202	165	12	1	18
E260	223	200	16	1	24

EDGE	FROM N.	TO N.	T. COST
NrE107	87	72	11
NrE108	72	102	11
NrE109	102	109	11
NrE110	110	111	20
NrE111	111	96	21
NrE112	96	112	17
NrE113	113	114	16
NrE114	114	110	23
NrE115	115	116	29
NrE116	117	115	6
NrE117	118	119	59
NrE118	119	120	13
NrE119	121	122	15
NrE120	123	124	15
NrE121	125	126	20
NrE122	126	121	11
NrE123	124	127	12
NrE124	128	119	11
NrE125	119	129	10
NrE126	129	124	14
NrE127	126	130	14
NrE128	130	131	15
NrE129	131	113	16
NrE130	113	132	16
NrE131	133	122	4
NrE132	122	130	11
NrE133	130	134	20
NrE134	21	41	39
NrE135	136	34	20
NrE136	34	38	30
NrE137	38	48	32
NrE138	135	29	11
NrE139	29	31	10
NrE140	31	19	11
NrE141	19	42	9
NrE142	42	26	10
NrE143	21	22	10
NrE144	22	16	10
NrE145	16	14	10
NrE146	14	137	10
NrE147	137	138	4
NrE148	140	141	20
NrE149	141	61	23
NrE150	67	51	20
NrE151	142	89	35
NrE152	89	81	11
NrE153	81	105	12
NrE154	105	143	6
NrE155	5	144	39
NrE156	123	112	13
NrE157	112	120	7
NrE158	145	148	21
NrE159	134	145	31
NrE160	144	125	2
NrE161	149	150	14
NrE162	39	45	20
NrE163	45	35	11
NrE164	32	47	49
NrE165	47	99	11
NrE166	99	128	56
NrE167	128	151	12
NrE168	149	150	9
NrE169	150	8	36
NrE170	109	153	20
NrE171	153	142	10
NrE172	112	129	14
NrE173	129	118	66
NrE174	118	47	16
NrE175	154	10	1
NrE176	10	155	7
NrE177	155	156	1
NrE178	156	157	3
NrE179	157	154	4
NrE180	135	35	19
NrE181	13	159	17
NrE182	159	160	14
NrE183	160	161	13
NrE184	161	162	12
NrE186	164	165	13
NrE187	166	167	7
NrE189	170	171	12
NrE190	162	172	11
NrE192	165	170	27
NrE193	1	127	33
NrE194	147	180	3
NrE195	181	98	3
NrE197	168	182	12
NrE198	182	183	11
NrE199	44	184	10
NrE200	184	185	24
NrE201	185	186	10
NrE203	195	196	21
NrE205	171	195	12
NrE206	195	199	12
NrE207	196	200	11
NrE208	50	201	13
NrE209	201	141	14
NrE210	60	201	23
NrE211	13	9	17
NrE212	9	12	12
NrE213	12	157	9
NrE215	202	203	20
NrE217	204	166	24
NrE219	168	174	12
NrE220	174	202	11
NrE222	165	175	12
NrE223	175	155	10
NrE224	166	173	12
NrE225	173	203	12
NrE226	203	164	12
NrE227	164	163	12
NrE228	163	156	10
NrE229	137	44	33
NrE230	191	189	44
NrE231	189	209	2
NrE232	179	85	26
NrE233	85	94	15
NrE234	94	77	14
NrE235	95	210	16
NrE236	210	146	20
NrE237	211	131	18
NrE238	131	212	13
NrE239	178	83	9
NrE240	83	92	14
NrE241	92	75	21
NrE242	75	55	20
NrE243	55	64	18
NrE244	64	69	21
NrE245	97	178	3
NrE246	216	132	10
NrE247	217	143	17
NrE248	217	106	7
NrE249	106	80	12
NrE250	80	88	11
NrE251	88	73	11
NrE252	73	103	11
NrE253	103	153	12
NrE254	4	148	19
NrE255	148	210	15
NrE256	210	111	17
NrE257	111	213	17
NrE258	213	179	2
NrE259	206	166	4
NrE261	225	222	1
NrE262	222	224	2
NrE263	224	220	1
NrE264	220	221	2
NrE265	221	197	1
NrE266	197	199	1
NrE267	199	225	1
NrE268	152	215	2
NrE269	212	133	15
NrE270	140	49	28
NrE271	49	226	8
NrE272	226	227	6
NrE273	227	66	9
NrE274	66	139	11
NrE275	139	46	4
NrE276	46	62	8
NrE277	62	228	8
NrE278	228	57	11
NrE279	57	229	9
NrE280	229	158	17
NrE281	158	230	20
NrE282	230	90	9
NrE283	90	177	10
NrE284	38	39	11
NrE285	8	32	24
NrE286	176	214	2
NrE287	146	211	28
NrE288	108	231	14
NrE289	231	152	20
NrE290	175	232	7
NrE291	232	169	14
NrE292	159	233	8
NrE293	233	234	22
NrE294	234	163	9
NrE295	174	235	34
NrE296	235	195	6
NrE297	182	236	10
NrE298	236	198	43
NrE299	172	237	8
NrE300	237	173	15
NrE301	11	238	13
NrE302	238	169	15
NrE303	167	239	14
NrE304	239	168	12

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST
NrA1	20	21	12
NrA2	135	136	12
NrA3	136	6	5
NrA4	6	20	5
NrA5	5	116	12
NrA6	116	145	10
NrA7	145	146	15
NrA8	146	110	18
NrA9	110	147	16
NrA10	21	135	10
NrA11	176	177	2
NrA12	177	98	7
NrA13	98	178	12
NrA14	178	100	11
NrA15	100	179	12
NrA16	179	180	20
NrA17	180	152	18
NrA18	187	188	2
NrA19	188	189	12
NrA20	189	190	52
NrA21	191	192	6
NrA22	192	193	2
NrA23	205	206	4
NrA24	186	188	2
NrA25	188	207	2
NrA26	207	205	22
NrA27	208	190	2
NrA28	190	191	3
NrA29	190	192	5
NrA30	192	138	22
NrA31	2	127	14
NrA32	147	213	20
NrA33	213	97	23
NrA34	97	181	12
NrA35	181	214	8
NrA36	215	147	18
NrA37	215	114	16
NrA38	114	211	18
NrA39	211	134	15
NrA40	134	117	11
NrA41	216	215	4
NrA42	208	218	35
NrA43	193	208	6
NrA44	151	176	3
NrA45	214	151	3
NrA46	206	219	26
NrA47	219	187	2
NrA48	187	186	2
NrA49	220	198	4
NrA50	198	221	4
NrA51	222	223	4
NrA52	223	224	4
NrA53	117	144	8
NrA54	218	209	19
NrA55	209	207	12
NrA56	207	219	2
NrA57	152	216	4
