Name:		lavras04
Optimal value:	2589
#Vehicles:	1
Capacity:	5400
Depot Node:	235
#Nodes:		235
#Edges:		300
#Arcs:		57
#Required N:	0
#Required E:	52
#Required A:	0

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	10	11	13	1	20
E181	13	159	17	1	26
E182	159	160	14	1	21
E183	160	161	13	1	20
E184	161	162	12	1	18
E185	159	163	37	1	56
E186	160	164	35	1	53
E187	164	165	13	1	20
E188	166	167	7	1	11
E189	167	168	26	1	39
E190	11	169	28	1	42
E191	169	170	12	1	18
E192	170	171	12	1	18
E193	162	172	11	1	17
E194	172	173	22	1	33
E195	173	174	26	1	39
E196	165	170	27	1	41
E197	175	169	21	1	32
E201	167	182	32	1	48
E202	168	182	12	1	18
E203	182	183	11	1	17
E204	183	184	12	1	18
E208	195	183	32	1	48
E209	174	196	40	1	60
E210	196	197	21	1	32
E211	168	198	46	1	69
E212	182	199	52	1	78
E213	171	196	12	1	18
E214	196	200	12	1	18
E215	197	201	11	1	17
E219	13	9	17	1	26
E220	9	12	12	1	18
E221	12	157	9	1	14
E222	171	203	33	1	50
E223	203	204	20	1	30
E224	204	161	34	1	51
E225	205	166	24	1	36
E226	172	205	11	1	17
E227	168	174	12	1	18
E228	174	203	11	1	17
E229	203	165	12	1	18
E230	165	175	12	1	18
E231	175	155	10	1	15
E232	209	210	8	1	12
E233	184	210	9	1	14
E234	210	211	12	1	18
E235	166	173	12	1	18
E236	173	204	12	1	18
E237	204	164	12	1	18
E238	164	163	12	1	18
E239	163	156	10	1	15
E271	227	201	16	1	24

EDGE	FROM N.	TO N.	T. COST
NrE78	92	93	14
NrE79	93	94	20
NrE80	94	86	25
NrE81	95	96	19
NrE82	96	97	16
NrE83	98	82	2
NrE84	82	91	14
NrE85	91	74	28
NrE86	74	56	19
NrE87	56	63	18
NrE88	63	68	21
NrE89	68	53	19
NrE90	100	84	17
NrE91	84	93	14
NrE92	93	76	13
NrE93	76	54	20
NrE94	54	65	17
NrE95	65	101	14
NrE96	101	70	7
NrE97	102	103	20
NrE98	104	78	11
NrE99	78	86	11
NrE100	86	71	11
NrE101	105	106	17
NrE102	106	107	20
NrE103	107	104	21
NrE104	104	108	7
NrE105	107	79	11
NrE106	79	87	11
NrE107	87	72	11
NrE108	72	102	11
NrE109	102	109	11
NrE110	110	111	20
NrE111	111	96	21
NrE112	96	112	17
NrE113	113	114	16
NrE114	114	110	23
NrE115	115	116	29
NrE116	117	115	6
NrE117	118	119	59
NrE118	119	120	13
NrE119	121	122	15
NrE120	123	124	15
NrE121	125	126	20
NrE122	126	121	11
NrE123	124	127	12
NrE124	128	119	11
NrE125	119	129	10
NrE126	129	124	14
NrE127	126	130	14
NrE128	130	131	15
NrE129	131	113	16
NrE130	113	132	16
NrE131	133	122	4
NrE132	122	130	11
NrE133	130	134	20
NrE134	21	41	39
NrE135	136	34	20
NrE136	34	38	30
NrE137	38	48	32
NrE138	135	29	11
NrE139	29	31	10
NrE140	31	19	11
NrE141	19	42	9
NrE142	42	26	10
NrE143	21	22	10
NrE144	22	16	10
NrE145	16	14	10
NrE146	14	137	10
NrE147	137	138	4
NrE148	140	141	20
NrE149	141	61	23
NrE150	67	51	20
NrE151	142	89	35
NrE152	89	81	11
NrE153	81	105	12
NrE154	105	143	6
NrE155	5	144	39
NrE156	123	112	13
NrE157	112	120	7
NrE158	145	148	21
NrE159	134	145	31
NrE160	144	125	2
NrE161	149	150	14
NrE162	39	45	20
NrE163	45	35	11
NrE164	32	47	49
NrE165	47	99	11
NrE166	99	128	56
NrE167	128	151	12
NrE168	149	150	9
NrE169	150	8	36
NrE170	109	153	20
NrE171	153	142	10
NrE172	112	129	14
NrE173	129	118	66
NrE174	118	47	16
NrE175	154	10	1
NrE176	10	155	7
NrE177	155	156	1
NrE178	156	157	3
NrE179	157	154	4
NrE180	135	35	19
NrE198	1	127	33
NrE199	147	180	3
NrE200	181	98	3
NrE205	44	185	10
NrE206	185	186	24
NrE207	186	187	10
NrE216	50	202	13
NrE217	202	141	14
NrE218	60	202	23
NrE240	137	44	33
NrE241	192	190	44
NrE242	190	213	2
NrE243	179	85	26
NrE244	85	94	15
NrE245	94	77	14
NrE246	95	214	16
NrE247	214	146	20
NrE248	215	131	18
NrE249	131	216	13
NrE250	178	83	9
NrE251	83	92	14
NrE252	92	75	21
NrE253	75	55	20
NrE254	55	64	18
NrE255	64	69	21
NrE256	97	178	3
NrE257	220	132	10
NrE258	221	143	17
NrE259	221	106	7
NrE260	106	80	12
NrE261	80	88	11
NrE262	88	73	11
NrE263	73	103	11
NrE264	103	153	12
NrE265	4	148	19
NrE266	148	214	15
NrE267	214	111	17
NrE268	111	217	17
NrE269	217	179	2
NrE270	207	166	4
NrE272	229	226	1
NrE273	226	228	2
NrE274	228	224	1
NrE275	224	225	2
NrE276	225	198	1
NrE277	198	200	1
NrE278	200	229	1
NrE279	152	219	2
NrE280	216	133	15
NrE281	140	49	28
NrE282	49	230	8
NrE283	230	231	6
NrE284	231	66	9
NrE285	66	139	11
NrE286	139	46	4
NrE287	46	62	8
NrE288	62	232	8
NrE289	232	57	11
NrE290	57	233	9
NrE291	233	158	17
NrE292	158	234	20
NrE293	234	90	9
NrE294	90	177	10
NrE295	38	39	11
NrE296	8	32	24
NrE297	176	218	2
NrE298	146	215	28
NrE299	108	235	14
NrE300	235	152	20

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST
NrA1	20	21	12
NrA2	135	136	12
NrA3	136	6	5
NrA4	6	20	5
NrA5	5	116	12
NrA6	116	145	10
NrA7	145	146	15
NrA8	146	110	18
NrA9	110	147	16
NrA10	21	135	10
NrA11	176	177	2
NrA12	177	98	7
NrA13	98	178	12
NrA14	178	100	11
NrA15	100	179	12
NrA16	179	180	20
NrA17	180	152	18
NrA18	188	189	2
NrA19	189	190	12
NrA20	190	191	52
NrA21	192	193	6
NrA22	193	194	2
NrA23	206	207	4
NrA24	187	189	2
NrA25	189	208	2
NrA26	208	206	22
NrA27	212	191	2
NrA28	191	192	3
NrA29	191	193	5
NrA30	193	138	22
NrA31	2	127	14
NrA32	147	217	20
NrA33	217	97	23
NrA34	97	181	12
NrA35	181	218	8
NrA36	219	147	18
NrA37	219	114	16
NrA38	114	215	18
NrA39	215	134	15
NrA40	134	117	11
NrA41	220	219	4
NrA42	212	222	35
NrA43	194	212	6
NrA44	151	176	3
NrA45	218	151	3
NrA46	207	223	26
NrA47	223	188	2
NrA48	188	187	2
NrA49	224	199	4
NrA50	199	225	4
NrA51	226	227	4
NrA52	227	228	4
NrA53	117	144	8
NrA54	222	213	19
NrA55	213	208	12
NrA56	208	223	2
NrA57	152	220	4
