Name:		lavras01
Optimal value:	2243
#Vehicles:	1
Capacity:	5400
Depot Node:	540
#Nodes:		546
#Edges:		547
#Arcs:		284
#Required N:	6
#Required E:	21
#Required A:	0

ReN.	DEMAND	S. COST
N541	1	20
N542	1	20
N543	1	20
N544	1	20
N545	1	20
N546	1	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	40	41	12	1	18
E15	45	46	12	1	18
E20	51	52	12	1	18
E22	53	54	12	1	18
E25	56	57	14	1	21
E26	57	58	12	1	18
E33	66	67	22	1	33
E34	68	54	22	1	33
E38	52	71	22	1	33
E39	72	55	22	1	33
E44	44	76	15	1	23
E45	76	77	16	1	24
E47	79	80	13	1	20
E262	397	393	12	1	18
E279	394	76	12	1	18
E280	76	73	12	1	18
E282	69	419	12	1	18
E295	429	57	23	1	35
E296	57	45	23	1	35
E355	59	47	23	1	35
E392	508	74	37	1	56

EDGE	FROM N.	TO N.	T. COST
NrE109	126	111	11
NrE110	144	145	17
NrE111	145	146	20
NrE112	146	143	21
NrE113	143	147	7
NrE114	146	119	11
NrE115	119	127	11
NrE116	127	112	11
NrE117	112	141	11
NrE118	141	148	11
NrE119	156	157	18
NrE120	157	22	8
NrE121	158	159	34
NrE122	30	160	24
NrE123	164	165	17
NrE124	165	166	13
NrE125	166	167	13
NrE126	167	168	12
NrE127	171	172	17
NrE128	173	174	15
NrE129	175	173	19
NrE130	176	159	7
NrE131	159	177	13
NrE132	178	164	28
NrE133	179	180	13
NrE134	181	182	15
NrE135	184	185	20
NrE136	186	187	4
NrE137	187	188	20
NrE138	188	165	21
NrE139	165	189	13
NrE140	176	185	12
NrE141	185	193	14
NrE142	196	197	7
NrE143	197	198	21
NrE144	198	158	13
NrE145	200	201	21
NrE146	201	167	21
NrE147	167	202	12
NrE148	202	203	30
NrE149	189	160	2
NrE150	160	204	11
NrE151	204	202	12
NrE152	202	205	12
NrE153	205	206	10
NrE154	206	207	21
NrE155	207	208	12
NrE156	209	210	8
NrE157	210	211	2
NrE158	211	212	5
NrE159	212	213	18
NrE160	213	214	5
NrE161	215	216	8
NrE162	216	217	16
NrE163	217	218	15
NrE164	218	219	15
NrE165	219	209	13
NrE166	220	199	15
NrE167	221	222	17
NrE168	223	224	2
NrE169	225	223	21
NrE170	230	213	10
NrE171	231	232	17
NrE172	236	237	11
NrE173	238	239	11
NrE174	239	240	12
NrE175	210	224	34
NrE176	224	242	1
NrE177	245	246	14
NrE178	246	247	10
NrE179	248	215	22
NrE180	249	217	30
NrE181	217	231	12
NrE182	231	250	11
NrE183	250	251	5
NrE184	188	256	12
NrE185	256	201	13
NrE186	201	25	13
NrE187	257	232	7
NrE188	232	218	14
NrE189	218	258	26
NrE190	264	257	12
NrE191	257	265	17
NrE192	268	269	53
NrE193	269	270	5
NrE194	270	271	12
NrE195	272	273	20
NrE196	274	275	12
NrE197	276	277	18
NrE198	282	283	20
NrE199	283	136	21
NrE200	136	284	17
NrE201	285	286	16
NrE202	286	282	23
NrE203	172	287	4
NrE204	288	289	29
NrE205	290	288	6
NrE206	291	292	15
NrE207	293	294	15
NrE208	295	296	12
NrE209	296	297	5
NrE210	287	298	13
NrE211	299	300	20
NrE212	300	291	11
NrE213	294	301	12
NrE214	300	302	14
NrE215	302	303	15
NrE216	303	285	16
NrE217	285	304	16
NrE218	305	292	4
NrE219	292	302	11
NrE220	302	306	20
NrE221	307	308	16
NrE222	310	13	24
NrE223	313	314	16
NrE224	314	315	18
NrE225	316	317	11
NrE226	11	318	14
NrE227	318	311	7
NrE228	311	319	5
NrE229	316	320	17
NrE230	320	309	12
NrE231	309	321	15
NrE232	279	329	11
NrE233	329	228	12
NrE234	331	264	3
NrE235	332	20	9
NrE236	242	333	5
NrE237	333	21	7
NrE238	251	334	4
NrE239	334	335	11
NrE240	335	18	11
NrE241	336	332	4
NrE242	295	337	35
NrE243	343	344	20
NrE244	344	97	23
NrE245	107	87	20
NrE246	345	129	35
NrE247	129	121	11
NrE248	121	144	12
NrE249	144	346	6
NrE250	279	244	14
NrE251	244	349	11
NrE252	277	350	8
NrE253	350	351	6
NrE254	351	271	12
NrE255	266	170	6
NrE256	369	371	2
NrE257	15	281	50
NrE258	21	380	39
NrE259	393	394	12
NrE260	395	396	13
NrE261	396	397	13
NrE263	33	395	16
NrE264	400	401	12
NrE265	401	402	11
NrE266	402	403	23
NrE267	400	404	40
NrE268	398	193	19
NrE269	404	406	20
NrE270	321	314	19
NrE271	314	308	16
NrE272	337	317	34
NrE273	317	407	49
NrE274	361	408	5
NrE275	411	412	17
NrE276	239	413	21
NrE277	413	411	24
NrE278	414	259	15
NrE281	73	69	12
NrE283	419	70	13
NrE284	335	420	33
NrE285	191	181	23
NrE286	181	421	20
NrE287	293	284	13
NrE288	381	426	21
NrE289	306	381	31
NrE290	380	299	2
NrE291	33	427	12
NrE292	427	36	11
NrE293	428	81	17
NrE294	79	429	17
NrE297	45	394	15
NrE298	427	430	11
NrE299	83	431	17
NrE300	431	34	15
NrE301	34	432	1
NrE302	250	435	14
NrE303	435	248	14
NrE304	216	435	21
NrE305	436	150	26
NrE306	438	439	13
NrE307	158	442	18
NrE308	193	182	19
NrE309	182	445	22
NrE310	238	400	29
NrE311	447	448	12
NrE312	448	401	34
NrE313	401	239	30
NrE314	449	450	14
NrE315	450	447	10
NrE316	447	404	11
NrE317	156	451	11
NrE318	451	402	11
NrE319	402	452	11
NrE320	452	434	12
NrE321	434	240	7
NrE322	148	454	20
NrE323	454	345	10
NrE324	395	49	18
NrE325	49	439	13
NrE326	38	455	5
NrE327	455	395	26
NrE328	432	456	14
NrE329	456	457	26
NrE330	458	432	20
NrE331	458	62	26
NrE332	62	391	23
NrE333	391	33	19
NrE334	203	348	19
NrE335	204	166	13
NrE336	166	256	21
NrE337	256	422	21
NrE338	195	207	13
NrE339	207	198	11
NrE340	198	442	18
NrE341	177	184	13
NrE342	184	398	14
NrE343	465	450	20
NrE344	319	307	16
NrE345	307	313	16
NrE346	220	431	25
NrE347	431	457	37
NrE348	220	35	1
NrE349	35	458	19
NrE350	271	274	29
NrE351	274	471	14
NrE352	236	194	21
NrE353	483	484	7
NrE354	17	301	33
NrE356	47	397	16
NrE357	397	65	18
NrE358	81	485	18
NrE359	485	59	24
NrE360	81	486	12
NrE361	486	173	13
NrE362	173	220	13
NrE363	65	487	11
NrE364	383	492	3
NrE365	493	138	3
NrE366	494	437	15
NrE367	437	297	25
NrE368	495	337	14
NrE369	499	500	33
NrE370	310	501	4
NrE371	86	502	13
NrE372	502	344	14
NrE373	96	502	23
NrE374	413	416	15
NrE375	439	61	10
NrE376	61	175	26
NrE377	406	476	30
NrE378	406	504	10
NrE379	504	465	10
NrE380	63	71	12
NrE381	71	505	12
NrE382	505	68	12
NrE383	68	72	13
NrE384	72	75	12
NrE385	429	506	12
NrE386	506	485	12
NrE387	485	507	12
NrE388	507	175	13
NrE389	175	458	13
NrE390	67	50	24
NrE391	64	508	22
NrE393	74	78	13
NrE394	78	509	21
NrE395	509	428	13
NrE396	428	510	12
NrE397	510	174	12
NrE398	419	41	14
NrE399	41	53	23
NrE400	53	505	22
NrE401	505	508	13
NrE402	60	438	11
NrE403	438	48	12
NrE404	48	396	16
NrE405	396	487	20
NrE406	510	486	16
NrE407	486	507	19
NrE408	507	60	25
NrE409	483	510	25
NrE410	484	174	19
NrE411	506	58	24
NrE412	58	46	23
NrE413	46	393	16
NrE414	509	80	14
NrE415	80	506	18
NrE416	430	37	16
NrE417	67	63	2
NrE418	204	24	3
NrE419	24	348	40
NrE420	187	422	12
NrE421	422	200	13
NrE422	200	417	12
NrE423	417	423	1
NrE424	155	179	51
NrE425	194	154	34
NrE426	154	155	3
NrE427	436	473	55
NrE428	179	436	5
NrE429	237	195	21
NrE430	195	208	17
NrE431	208	177	46
NrE432	237	206	12
NrE433	168	237	13
NrE434	407	515	7
NrE435	361	226	11
NrE436	408	358	6
NrE437	358	516	9
NrE438	516	275	13
NrE439	275	278	13
NrE440	278	351	17
NrE441	168	25	21
NrE442	25	423	20
NrE443	423	418	11
NrE444	418	390	17
NrE445	398	399	9
NrE446	399	405	5
NrE447	193	421	14
NrE448	421	161	15
NrE449	161	238	14
NrE450	449	157	42
NrE451	157	403	23
NrE452	403	462	12
NrE453	504	447	20
NrE454	452	462	28
NrE455	371	259	23
NrE456	491	125	26
NrE457	125	134	15
NrE458	134	117	14
NrE459	135	520	16
NrE460	520	382	20
NrE461	521	303	18
NrE462	303	522	13
NrE463	265	524	2
NrE464	490	123	9
NrE465	123	132	14
NrE466	132	115	21
NrE467	115	91	20
NrE468	91	104	18
NrE469	104	109	21
NrE470	137	490	3
NrE471	528	304	10
NrE472	529	346	17
NrE473	529	145	7
NrE474	145	120	12
NrE475	120	128	11
NrE476	128	113	11
NrE477	113	142	11
NrE478	142	454	12
NrE479	20	426	19
NrE480	426	520	15
NrE481	520	283	17
NrE482	283	525	17
NrE483	525	491	2
NrE484	27	178	11
NrE485	178	472	5
NrE486	472	531	20
NrE487	531	186	15
NrE488	186	392	14
NrE489	219	523	6
NrE490	524	384	14
NrE491	384	225	1
NrE492	225	336	10
NrE493	523	524	4
NrE494	308	318	18
NrE495	308	10	15
NrE496	499	503	14
NrE497	503	482	20
NrE498	280	534	21
NrE499	500	534	7
NrE500	534	272	10
NrE501	272	503	9
NrE502	268	280	10
NrE503	280	273	10
NrE504	273	482	10
NrE505	482	425	9
NrE506	425	16	19
NrE507	471	516	11
NrE508	445	191	14
NrE509	196	205	8
NrE510	205	168	12
NrE511	453	527	2
NrE512	392	32	21
NrE513	32	390	13
NrE514	522	305	15
NrE515	343	85	28
NrE516	85	535	8
NrE517	535	536	6
NrE518	536	106	9
NrE519	106	342	11
NrE520	342	84	4
NrE521	84	102	8
NrE522	102	537	8
NrE523	537	93	11
NrE524	93	538	9
NrE525	538	480	17
NrE526	480	539	20
NrE527	539	130	9
NrE528	130	489	10
NrE529	356	238	56
NrE530	450	156	32
NrE531	488	526	2
NrE532	382	521	28
NrE533	19	331	26
NrE534	147	540	14
NrE535	540	453	20
NrE536	56	541	11
NrE537	541	44	12
NrE538	75	542	6
NrE539	542	429	8
NrE540	41	543	7
NrE541	543	42	6
NrE542	39	544	5
NrE543	544	51	18
NrE544	66	545	4
NrE545	545	50	9
NrE546	54	546	14
NrE547	546	42	10

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	32
NrA2	2	3	16
NrA3	3	4	17
NrA4	4	5	22
NrA5	5	6	6
NrA6	6	7	13
NrA7	8	9	24
NrA8	10	11	21
NrA9	11	12	23
NrA10	12	13	19
NrA11	13	14	17
NrA12	14	15	17
NrA13	15	16	42
NrA14	25	26	13
NrA15	27	28	30
NrA16	28	29	15
NrA17	29	30	8
NrA18	30	23	16
NrA19	23	31	18
NrA20	32	33	26
NrA21	82	83	9
NrA22	98	99	12
NrA23	99	100	9
NrA24	100	101	16
NrA25	149	150	12
NrA26	150	151	8
NrA27	161	162	26
NrA28	169	99	17
NrA29	99	170	21
NrA30	183	82	13
NrA31	190	191	19
NrA32	171	192	11
NrA33	194	195	11
NrA34	174	199	12
NrA35	199	83	31
NrA36	226	227	3
NrA37	228	229	17
NrA38	5	30	23
NrA39	233	211	5
NrA40	1	243	18
NrA41	243	244	9
NrA42	29	222	11
NrA43	222	6	14
NrA44	252	233	14
NrA45	233	212	8
NrA46	253	254	11
NrA47	254	255	7
NrA48	259	249	9
NrA49	249	260	7
NrA50	260	258	6
NrA51	258	101	13
NrA52	101	261	14
NrA53	261	252	3
NrA54	252	230	33
NrA55	230	262	15
NrA56	262	263	3
NrA57	266	267	15
NrA58	278	276	12
NrA59	276	279	10
NrA60	261	266	13
NrA61	244	277	15
NrA62	280	281	44
NrA63	312	12	16
NrA64	322	323	12
NrA65	323	1	24
NrA66	1	324	14
NrA67	325	326	23
NrA68	169	327	6
NrA69	263	312	13
NrA70	328	5	17
NrA71	329	275	22
NrA72	338	8	5
NrA73	338	339	12
NrA74	339	245	21
NrA75	245	340	17
NrA76	341	338	40
NrA77	341	183	6
NrA78	328	339	23
NrA79	339	183	40
NrA80	348	31	13
NrA81	352	353	14
NrA82	322	325	3
NrA83	354	355	22
NrA84	356	326	21
NrA85	190	357	16
NrA86	358	359	22
NrA87	327	254	9
NrA88	241	235	20
NrA89	235	361	13
NrA90	362	363	16
NrA91	363	234	15
NrA92	234	328	12
NrA93	7	338	7
NrA94	7	8	7
NrA95	8	221	11
NrA96	364	365	8
NrA97	365	354	7
NrA98	354	352	22
NrA99	364	366	8
NrA100	367	365	11
NrA101	327	353	4
NrA102	353	367	26
NrA103	367	368	6
NrA104	266	100	20
NrA105	100	369	19
NrA106	369	370	2
NrA107	170	267	14
NrA108	267	372	5
NrA109	170	373	10
NrA110	372	374	16
NrA111	374	375	2
NrA112	376	377	5
NrA113	377	373	14
NrA114	373	98	24
NrA115	15	373	16
NrA116	377	14	17
NrA117	376	372	7
NrA118	374	378	3
NrA119	379	375	4
NrA120	379	378	4
NrA121	378	376	15
NrA122	375	230	14
NrA123	262	214	16
NrA124	21	289	12
NrA125	289	381	10
NrA126	381	382	15
NrA127	382	282	18
NrA128	282	383	16
NrA129	386	10	4
NrA130	387	388	4
NrA131	390	36	25
NrA132	391	392	31
NrA133	398	180	7
NrA134	180	399	10
NrA135	162	405	14
NrA136	400	162	13
NrA137	404	149	11
NrA138	149	180	29
NrA139	407	321	16
NrA140	409	410	12
NrA141	415	416	14
NrA142	416	240	21
NrA143	417	418	17
NrA144	415	215	20
NrA145	414	415	18
NrA146	215	414	25
NrA147	405	421	21
NrA148	392	422	10
NrA149	423	424	13
NrA150	433	341	6
NrA151	83	433	10
NrA152	347	247	17
NrA153	247	328	20
NrA154	347	241	16
NrA155	340	347	24
NrA156	424	26	20
NrA157	255	16	11
NrA158	459	460	1
NrA159	460	461	23
NrA160	461	324	13
NrA161	324	360	12
NrA162	31	459	15
NrA163	359	228	12
NrA164	462	463	27
NrA165	463	420	4
NrA166	420	464	2
NrA167	151	406	11
NrA168	16	467	16
NrA169	467	468	16
NrA170	468	469	10
NrA171	469	409	16
NrA172	409	470	29
NrA173	229	362	18
NrA174	221	28	12
NrA175	473	153	1
NrA176	153	474	3
NrA177	441	475	6
NrA178	476	477	3
NrA179	478	152	3
NrA180	152	473	1
NrA181	479	476	4
NrA182	9	457	3
NrA183	481	236	11
NrA184	488	489	2
NrA185	489	138	7
NrA186	138	490	12
NrA187	490	139	11
NrA188	139	491	12
NrA189	491	492	20
NrA190	492	453	18
NrA191	496	298	1
NrA192	298	466	1
NrA193	466	495	2
NrA194	495	494	2
NrA195	494	496	2
NrA196	475	479	1
NrA197	479	477	2
NrA198	477	478	1
NrA199	26	481	6
NrA200	503	467	28
NrA201	511	512	1
NrA202	512	475	4
NrA203	183	341	7
NrA204	3	362	24
NrA205	362	513	27
NrA206	31	3	18
NrA207	478	514	2
NrA208	514	444	1
NrA209	444	511	1
NrA210	512	441	5
NrA211	513	227	2
NrA212	513	226	2
NrA213	227	330	12
NrA214	330	363	18
NrA215	363	4	23
NrA216	349	517	2
NrA217	470	349	4
NrA218	517	243	9
NrA219	243	229	32
NrA220	470	517	4
NrA221	4	23	21
NrA222	229	2	22
NrA223	2	460	15
NrA224	357	325	9
NrA225	357	323	4
NrA226	474	514	1
NrA227	464	518	2
NrA228	518	248	12
NrA229	519	371	2
NrA230	519	370	2
NrA231	370	169	8
NrA232	352	519	3
NrA233	18	301	14
NrA234	101	219	21
NrA235	523	265	5
NrA236	383	525	20
NrA237	525	137	23
NrA238	137	493	12
NrA239	493	526	8
NrA240	527	383	18
NrA241	527	286	16
NrA242	286	521	18
NrA243	521	306	15
NrA244	306	290	11
NrA245	98	253	4
NrA246	253	327	11
NrA247	515	315	15
NrA248	315	385	10
NrA249	385	386	7
NrA250	386	312	43
NrA251	312	379	17
NrA252	9	530	4
NrA253	530	27	8
NrA254	368	366	4
NrA255	366	410	22
NrA256	410	322	11
NrA257	192	532	9
NrA258	440	533	4
NrA259	532	533	8
NrA260	389	388	4
NrA261	533	387	4
NrA262	387	389	4
NrA263	388	171	15
NrA264	532	440	6
NrA265	501	501	16
NrA266	368	468	15
NrA267	468	498	13
NrA268	498	497	10
NrA269	497	499	7
NrA270	445	360	22
NrA271	360	190	15
NrA272	190	446	12
NrA273	446	356	21
NrA274	356	163	9
NrA275	163	355	10
NrA276	355	412	14
NrA277	412	259	16
NrA278	528	527	4
NrA279	326	364	10
NrA280	443	488	3
NrA281	526	443	3
NrA282	290	380	8
NrA283	457	530	3
NrA284	453	528	4
